22410, Crazy Bite,Crazy Bite, Fast Food,,,,,,,
18368687, India Coffee House,India Coffee House, Cafe, Tea,,,,,,
18134907, Bindas,Bindas, North Indian, Chinese, Mughlai,,,,,
18265442, Salt N Spice, Error Code = 404,,,,,,,,
23682, Jaiswal Tasty Corner,Jaiswal Tasty Corner, Mishti,,,,,,,
22716, Vaiya's,Vaiya's, South Indian,,,,,,,
24694, Vanakkam,Vanakkam, South Indian,,,,,,,
22672, Kichukhhon,Kichukhhon, Fast Food, North Indian, Chinese,,,,,
25524, Sizzling Sizzler,Sizzling Sizzler, Chinese, Continental, Thai,,,,,
24944, Bell Peppers, Error Code = 404,,,,,,,,
23967, Delhi Darbar,Delhi Darbar, North Indian,,,,,,,
18249161, Urban Rasoi, Error Code = 404,,,,,,,,
17983793, Lords Restaurant,Lords Restaurant, Chinese, North Indian,,,,,,
24582, Opar Bangla Eparei,Opar Bangla Eparei, Bengali,,,,,,,
18431445, Countryside Restro Bar, Error Code = 404,,,,,,,,
18281724, Panda Juction,Panda Junction, Chinese, Tibetan,,,,,,
18296340, Hamro Momo, Error Code = 404,,,,,,,,
18431469, Snack Street Cafe, Error Code = 404,,,,,,,,
18311126, The Batter Box,The Batter Box, Bakery,,,,,,,
21949, Fluid - The Big Boss,Fluid - The Big Boss, North Indian, Chinese, Continental,,,,,
22729, Tripti,Tripti, Chinese, North Indian,,,,,,
18420522, 11 to 11 Tastebusterzz,11 to 11 Tastebusterzz, Continental, North Indian, Chinese,,,,,
18143233, The Turn Table,The Turn Table, Bakery, Desserts,,,,,,
18259454, Sizzling Sizzler,Sizzling Sizzler, Chinese, Continental, Thai,,,,,
18287252, Bang Bang Cafe and Lounge, Error Code = 404,,,,,,,,
22488, Chaat Chator,Chaat Chator, Street Food,,,,,,,
22588, Platter Barsana,Platter Barsana, North Indian, Chinese,,,,,,
21606, Gaylords Restaurant,Gaylords Restaurant, North Indian, Continental,,,,,,
18213988, Aahar Restaurant,Aahar Restaurant, North Indian, Chinese, Biryani,,,,,
18325265, Chef Mao,Chef Mao, Chinese, Tibetan, Momos,,,,,
21733, Tangerine,Tangerine, Chinese,,,,,,,
24007, Parul Fast Food,Parul Fast Food, Fast Food,,,,,,,
18354591, Blue Nile Lounge,Blue Nile Lounge, Finger Food, North Indian,,,,,,
25416, Cocopie,Cocopie, Bakery, Desserts,,,,,,
18143277, Penguin Food Centre,Penguin, Mughlai, North Indian, Chinese,,,,,
25520, Bake Flake,Bake Flake, Bakery,,,,,,,
18393918, Five Point Cafe,Five Point Cafe, Cafe,,,,,,,
24308, Gelato Italiano, Error Code = 404,,,,,,,,
23604, Zunger, Error Code = 404,,,,,,,,
18337428, Bahula,Bahula, Chinese, North Indian,,,,,,
18162662, Neil's Kitchen,Neil's Kitchen, Afghani, Fast Food, North Indian, Chinese, Rolls, Indian, Kebab,
23175, Shakes & Sandwich,Shakes & Sandwich, Fast Food,,,,,,,
23279, Sip N Lick,Sip N Lick, Beverages, Fast Food, Desserts, Sandwich,,,,
22658, Bronze, Error Code = 404,,,,,,,,
18452219, Kabuliwala,Kabuliwala, Biryani, North Indian,,,,,,
18287232, Sharma Tea,Sharma Tea, Street Food,,,,,,,
24080, Cafe Organica, Error Code = 404,,,,,,,,
24592, Imperial Bakers & Confectioners,Imperial Bakers & Confectioners, Bakery,,,,,,,
18260589, Moni Da's Food Cafe,Moni Da's Food Cafe, Street Food,,,,,,,
